userWallet,total_txn,num_deposits,num_borrows,num_repays,num_redeems,num_liquidations,total_amount,avg_amount,std_amount,cluster,credit_score
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,43,18,8,5,0,0,5.204052395703801e+22,1.2102447431869305e+21,1.9586330459614017e+21,0,200
0x000ab43e658935ba39504a1424b01756c1e9644c,2,1,1,0,0,0,1.1e+17,5.5e+16,6.363961030678928e+16,0,200
0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,77,49,0,0,0,0,3.909051961926561e+20,5.076690859644885e+18,1.2912819375251782e+19,0,200
0x000c8e2871750f458bf1de8ab528dda09bc95db6,4,1,1,1,0,0,3.4712e+22,8.678e+21,7.300016803633628e+21,0,200
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,71,20,20,17,0,0,1.3765269240222406e+17,1938770315524282.5,4996689912586357.0,1,400
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,6,4,1,1,0,0,2.0027200000008012e+20,3.337866666668002e+19,2.585521863503763e+19,0,200
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,1,1,0,0,0,0,1000000000000000.0,1000000000000000.0,0.0,0,200
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,1,1,0,0,0,0,1e+17,1e+17,0.0,0,200
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,8,1,3,2,0,0,2.8256902121935402e+17,3.5321127652419252e+16,9.990323476788602e+16,0,200
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,8,6,0,0,0,0,3.192625413161585e+18,3.9907817664519814e+17,5.5079396481472275e+17,0,200
0x000e840a3122ec28d0c29321db172375cb049762,10,5,2,2,0,0,3.837084420454964e+20,3.8370844204549644e+19,5.46385102877679e+19,0,200
0x000e9bd1d42999446d60ff60f1fb3afb13604202,22,8,6,4,0,0,1.822531198096951e+19,8.284232718622505e+17,2.8192355219211633e+18,0,200
0x000eab293e332bd6e67018a9150e8807bfac3233,1,1,0,0,0,0,1.2e+18,1.2e+18,0.0,0,200
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,2,1,0,0,0,0,1.1209234352742852e+20,5.604617176371426e+19,6.529673444338515e+16,0,200
